GDW_ID,active_by_year,analysis_year,active_year_source,dam_year_used,dam_year_field_used,dam_rem_year_used,source_area_ha,res_elev_m,dam_dem_median_3x3_m,res_minus_dam_dem_m,source_command_area_path,dem_path,dem_sample_cells,dem_target_resolution_m,dem_elev_min_m,dem_elev_p05_m,dem_elev_p10_m,dem_elev_median_m,dem_elev_p90_m,dem_elev_p95_m,dem_elev_max_m,head_min_m,head_p05_m,head_p10_m,head_median_m,head_p90_m,head_p95_m,head_max_m,pct_below_reservoir,pct_below_reservoir_plus5m,pct_below_reservoir_plus10m,pct_above_reservoir_plus10m,pct_positive_head,pct_head_ge_5m,distance_median_m,distance_p95_m,distance_max_m,far_low_head_pct,flag_tiny_dem_sample_lt_10,flag_above_allowed_gt_5pct,flag_low_positive_head_lt_75pct,flag_low_allowed_head_lt_95pct,flag_reservoir_dem_mismatch_gt_100m,major_flag_count,any_major_flag
6667,True,2015,processed_gdw_dam_year,1979,YEAR_DAM,-99,101.18252020827828,470.0,469.0,1.0,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,195,30.0,462.01177978515625,469.0,469.904296875,474.0701599121094,483.11083984375,490.4762542724609,535.458251953125,-65.458251953125,-20.476254272460935,-13.110839843749998,-4.070159912109375,0.09570312499999942,1.0,7.98822021484375,10.76923076923077,60.51282051282051,86.15384615384616,13.846153846153847,10.76923076923077,1.0256410256410255,1086.681707998774,1921.4638044948172,2063.439736245904,0.0,False,True,True,True,False,3,True
6686,True,2015,processed_gdw_dam_year,1979,YEAR_DAM,-99,251.2123879612462,546.0,545.9038696289062,0.09613037109375,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,467,30.0,534.5599365234375,540.9156982421875,543.1815551757812,553.5411376953125,562.452685546875,564.9442749023438,572.546875,-26.546875,-18.94427490234375,-16.452685546875,-7.5411376953125,2.8184448242187528,5.0843017578125,11.4400634765625,18.41541755888651,35.54603854389722,64.23982869379014,35.76017130620985,18.41541755888651,5.353319057815846,1194.6879433028723,2539.4044668832403,2826.87592265972,0.0,False,True,True,True,False,3,True
6689,True,2015,processed_gdw_dam_year,1979,YEAR_DAM,-99,105.27868536225499,1237.0,1247.71044921875,-10.71044921875,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,267,30.0,1192.9886474609375,1205.3406616210937,1223.0867431640625,1247.157470703125,1284.7103515625,1301.9830810546875,1352.4793701171875,-115.4793701171875,-64.9830810546875,-47.7103515625,-10.157470703125,13.913256835937517,31.659338378906238,44.0113525390625,22.47191011235955,40.074906367041194,49.812734082397,50.187265917603,22.47191011235955,12.359550561797752,1456.6786437651008,2834.5582713121003,3029.698156608905,0.0,False,True,True,True,False,3,True
5348,True,2015,processed_gdw_dam_year,1980,YEAR_DAM,-99,261.7587686347533,1182.0,1183.241943359375,-1.241943359375,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,574,30.0,1148.21337890625,1162.38388671875,1176.5091918945313,1189.3386840820312,1201.3768676757813,1206.2383178710938,1234.20458984375,-52.20458984375,-24.23831787109375,-19.37686767578125,-7.33868408203125,5.490808105468753,19.616113281250012,33.78662109375,14.982578397212542,39.02439024390244,62.7177700348432,37.282229965156795,14.982578397212542,10.278745644599303,2326.1071351453156,4830.60530570455,5059.299744420835,0.0,False,True,True,True,False,3,True
5351,True,2015,processed_gdw_dam_year,1980,YEAR_DAM,-99,1173.5889920351758,1219.0,1219.0,0.0,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,2121,30.0,1166.677490234375,1179.6597900390625,1191.2652587890625,1226.1409912109375,1235.821533203125,1237.8875732421875,1246.458740234375,-27.458740234375,-18.8875732421875,-16.821533203125,-7.1409912109375,27.7347412109375,39.3402099609375,52.322509765625,25.78972182932579,40.688354549740694,61.951909476661946,38.04809052333805,25.78972182932579,20.792079207920793,2251.1391153906015,5074.410286570421,6287.602546469937,0.0,False,True,True,True,False,3,True
5352,True,2015,processed_gdw_dam_year,1980,YEAR_DAM,-99,250.41878804921228,1204.0,1204.0,0.0,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,443,30.0,1194.9564208984375,1201.8091430664062,1204.1231201171875,1210.5850830078125,1215.7649169921874,1218.1589233398438,1239.3681640625,-35.3681640625,-14.15892333984375,-11.7649169921875,-6.5850830078125,-0.1231201171874993,2.1908569335937425,9.0435791015625,9.480812641083523,37.24604966139955,80.36117381489842,19.63882618510158,9.480812641083523,2.4830699774266365,1262.1571026676595,2003.948631257175,2193.859985800417,0.0,False,True,True,True,False,3,True
5345,True,2015,processed_gdw_dam_year,1983,YEAR_DAM,-99,261.5713145515504,1051.0,1050.646728515625,0.353271484375,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,507,30.0,1041.4010009765625,1048.000341796875,1050.577197265625,1060.2784423828125,1064.5580078125,1065.9082885742187,1068.4949951171875,-17.4949951171875,-14.90828857421875,-13.5580078125,-9.2784423828125,0.42280273437500593,2.9996582031249943,9.5989990234375,11.242603550295858,27.021696252465482,56.01577909270217,43.98422090729783,11.242603550295858,2.7613412228796843,1643.1771627395794,2878.4361387773683,3244.326673471687,0.0,False,True,True,True,False,3,True
5349,True,2015,processed_gdw_dam_year,1983,YEAR_DAM,-99,145.85579151487227,1155.0,1156.8851318359375,-1.8851318359375,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,310,30.0,1140.2745361328125,1149.8523681640625,1155.0,1163.8453979492188,1173.5030151367187,1175.1813720703126,1182.052490234375,-27.052490234375,-20.1813720703125,-18.503015136718748,-8.84539794921875,0.0,5.147631835937508,14.7254638671875,12.580645161290322,30.64516129032258,56.12903225806451,43.87096774193549,12.580645161290322,5.161290322580645,1528.598989882252,3544.884197865051,3723.7319440765687,0.0,False,True,True,True,False,3,True
5360,True,2015,processed_gdw_dam_year,1983,YEAR_DAM,-99,1302.1979020134083,1433.0,1433.0,0.0,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,2327,30.0,1405.751220703125,1432.7193359375,1433.6239013671875,1441.635009765625,1450.202734375,1452.3917236328125,1480.541259765625,-47.541259765625,-19.3917236328125,-17.202734375,-8.635009765625,-0.6239013671875,0.28066406249997855,27.248779296875,8.465835840137515,30.253545337344217,57.54189944134078,42.45810055865922,8.465835840137515,2.578427159432746,4936.613462152047,8009.905072494388,8891.064917993664,0.0,False,True,True,True,False,3,True
2046,True,2015,processed_gdw_dam_year,1984,YEAR_DAM,-99,3109.7415761856364,1010.0,1009.8336791992188,0.16632080078125,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,5106,30.0,984.4258422851562,1003.0353240966797,1007.2534790039062,1017.0104675292969,1024.8949584960938,1026.3275451660156,1035.9156494140625,-25.9156494140625,-16.327545166015625,-14.89495849609375,-7.010467529296875,2.74652099609375,6.9646759033203125,25.57415771484375,17.587152369761068,39.32628280454367,65.43282412847631,34.567175871523695,17.587152369761068,6.933019976498238,4340.8317297722315,11156.791109987294,12451.741933940648,0.0,False,True,True,True,False,3,True
2042,True,2015,processed_gdw_dam_year,1986,YEAR_DAM,-99,1648.0728148945989,961.0,961.0,0.0,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,2438,30.0,940.7843017578125,944.8922271728516,946.5851318359375,961.8623046875,975.18193359375,981.5976165771484,1040.2342529296875,-79.2342529296875,-20.597616577148436,-14.18193359375,-0.8623046875,14.414868164062502,16.10777282714844,20.2156982421875,47.25184577522559,62.7563576702215,78.9991796554553,21.00082034454471,47.25184577522559,33.470057424118124,3108.8140344734657,4841.151099702189,6089.898093316173,0.0,False,True,True,True,False,3,True
2028,True,2015,processed_gdw_dam_year,1989,YEAR_DAM,-99,2467.2274296837613,623.0,623.7581787109375,-0.7581787109375,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,4809,30.0,588.0454711914062,617.1825927734375,623.3682983398437,630.5961303710938,641.0539794921875,647.9788452148438,714.2317504882812,-91.23175048828125,-24.97884521484375,-18.0539794921875,-7.59613037109375,-0.3682983398437517,5.817407226562483,34.95452880859375,8.712830110210023,34.393844874194215,63.547515075899355,36.452484924100645,8.712830110210023,5.198585984612185,5615.714096515765,10167.66708183864,11523.688243423874,0.0,False,True,True,True,False,3,True
5326,False,2015,command_area_export_year,-99,YEAR_DAM,-99,1147.6724308822575,448.0,446.5801086425781,1.419891357421875,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,1858,30.0,432.440673828125,440.6676956176758,446.3009887695313,455.4790496826172,462.9924011230469,464.6623138427734,474.2565002441406,-26.256500244140625,-16.662313842773436,-14.992401123046875,-7.4790496826171875,1.6990112304687457,7.332304382324216,15.559326171875,13.778256189451021,33.96124865446717,65.44671689989235,34.55328310010764,13.778256189451021,7.265877287405813,2454.6076496984842,5156.197437841544,5734.910394389076,0.0,False,True,True,True,False,3,True
5350,True,2015,processed_gdw_dam_year,1969,YEAR_DAM,-99,899.6938916770931,1079.0,1083.7470703125,-4.7470703125,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,1566,30.0,1059.96630859375,1076.8479919433594,1079.0,1087.5345458984375,1096.4183959960938,1104.8666381835938,1160.4222412109375,-81.4222412109375,-25.86663818359375,-17.41839599609375,-8.5345458984375,0.0,2.152008056640625,19.03369140625,10.344827586206897,27.39463601532567,59.83397190293742,40.16602809706258,10.344827586206897,3.8314176245210727,3149.93617010434,5485.518208972671,6035.02239456474,0.0,False,True,True,True,False,3,True
2040,True,2015,processed_gdw_dam_year,1988,YEAR_DAM,-99,1970.9640427016411,819.0,819.9729614257812,-0.97296142578125,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,3509,30.0,792.2444458007812,802.203662109375,810.554248046875,826.57177734375,834.3102905273438,835.9337280273437,854.6107788085938,-35.61077880859375,-16.93372802734375,-15.31029052734375,-7.57177734375,8.445751953125006,16.796337890625,26.75555419921875,16.21544599601026,37.50356226845255,64.29182103163295,35.70817896836706,16.21544599601026,11.883727557708749,6588.613611095033,13439.19590867669,14661.016278484576,0.0,False,True,True,True,False,3,True
1943,True,2015,processed_gdw_dam_year,1978,YEAR_DAM,-99,5283.790166604083,335.0,333.04254150390625,1.95745849609375,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,7179,30.0,310.0340881347656,329.3051300048828,334.8839599609375,340.99713134765625,347.4613464355469,348.5931793212891,352.7217102050781,-17.721710205078125,-13.593179321289062,-12.461346435546876,-5.99713134765625,0.11604003906249993,5.694869995117169,24.965911865234375,11.436133166179134,42.916840785624736,76.59841203510238,23.40158796489762,11.436133166179134,5.362863908622371,6530.128533050304,10443.716600616368,11373.385217073053,0.0,False,True,True,True,False,3,True
369,True,2015,processed_gdw_dam_year,1982,YEAR_DAM,-99,6007.395315349768,344.0,342.81976318359375,1.18023681640625,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,7781,30.0,322.8893127441406,334.5145568847656,335.5340881347656,344.9147644042969,354.6132507324219,356.1708984375,372.09881591796875,-28.09881591796875,-12.1708984375,-10.613250732421875,-0.914764404296875,8.465911865234375,9.485443115234375,21.110687255859375,46.574990361136095,66.73949363834983,87.99640149081095,12.00359850918905,46.574990361136095,30.80580902197661,5700.110391235783,9484.696728848961,11555.924714262728,0.0,False,True,True,True,False,3,True
1960,True,2015,processed_gdw_dam_year,1982,YEAR_DAM,-99,6496.111185569158,167.0,170.0,-3.0,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,8620,30.0,139.34349060058594,169.08077087402344,170.86811218261718,173.3705596923828,177.5997100830078,178.58452224731445,200.2807159423828,-33.28071594238281,-11.584522247314453,-10.599710083007812,-6.3705596923828125,-3.868112182617187,-2.0807708740234485,27.656509399414062,3.689095127610209,20.452436194895594,86.45011600928075,13.549883990719259,3.689095127610209,2.6102088167053363,13614.377858818141,21495.164985422478,23343.439635359642,0.0,False,True,True,True,False,3,True
365,True,2015,processed_gdw_dam_year,1983,YEAR_DAM,-99,11240.166622440758,284.0,285.0,-1.0,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,14751,30.0,277.0827941894531,281.2843933105469,284.8138427734375,289.2683410644531,295.4749755859375,296.865966796875,306.17041015625,-22.17041015625,-12.865966796875,-11.4749755859375,-5.268341064453125,-0.8138427734375,2.715606689453125,6.917205810546875,8.385872144261405,46.30194563080469,83.54009897634059,16.459901023659413,8.385872144261405,0.6711409395973155,11798.321955638226,19708.35526362416,21308.8538213429,0.0,False,True,True,True,False,3,True
